DATE,PERMIT
1/1/2004,1952
2/1/2004,1966
3/1/2004,2066
4/1/2004,2070
5/1/2004,2150
6/1/2004,2020
7/1/2004,2112
8/1/2004,2056
9/1/2004,2041
10/1/2004,2097
11/1/2004,2079
12/1/2004,2082
1/1/2005,2139
2/1/2005,2114
3/1/2005,2062
4/1/2005,2150
5/1/2005,2085
6/1/2005,2178
7/1/2005,2203
8/1/2005,2219
9/1/2005,2263
10/1/2005,2170
11/1/2005,2218
12/1/2005,2120
1/1/2006,2212
2/1/2006,2141
3/1/2006,2118
4/1/2006,1998
5/1/2006,1905
6/1/2006,1867
7/1/2006,1763
8/1/2006,1722
9/1/2006,1655
10/1/2006,1570
11/1/2006,1535
12/1/2006,1638
1/1/2007,1626
2/1/2007,1598
3/1/2007,1596
4/1/2007,1470
5/1/2007,1493
6/1/2007,1407
7/1/2007,1361
8/1/2007,1321
9/1/2007,1261
10/1/2007,1192
11/1/2007,1224
12/1/2007,1149
1/1/2008,1094
2/1/2008,1014
3/1/2008,967
4/1/2008,1008
5/1/2008,995
6/1/2008,1180
7/1/2008,921
8/1/2008,858
9/1/2008,797
10/1/2008,736
11/1/2008,626
12/1/2008,554
1/1/2009,545
2/1/2009,558
3/1/2009,513
4/1/2009,521
5/1/2009,556
6/1/2009,601
7/1/2009,595
8/1/2009,616
9/1/2009,609
10/1/2009,583
11/1/2009,623
12/1/2009,664
1/1/2010,636
2/1/2010,650
3/1/2010,687
4/1/2010,637
5/1/2010,575
6/1/2010,587
7/1/2010,579
8/1/2010,580
9/1/2010,563
10/1/2010,558
11/1/2010,560
12/1/2010,632
1/1/2011,576
2/1/2011,542
3/1/2011,583
4/1/2011,581
5/1/2011,618
6/1/2011,636
7/1/2011,621
8/1/2011,647
9/1/2011,610
10/1/2011,671
11/1/2011,706
12/1/2011,697
1/1/2012,712
2/1/2012,738
3/1/2012,806
4/1/2012,732
5/1/2012,796
6/1/2012,794
7/1/2012,849
8/1/2012,840
9/1/2012,930
10/1/2012,887
11/1/2012,917
12/1/2012,941
1/1/2013,940
2/1/2013,980
3/1/2013,936
4/1/2013,1012
5/1/2013,1003
6/1/2013,942
7/1/2013,997
8/1/2013,964
9/1/2013,1004
10/1/2013,1044
11/1/2013,1029
12/1/2013,1005
1/1/2014,976
2/1/2014,1039
3/1/2014,1067
4/1/2014,1090
5/1/2014,1018
6/1/2014,1010
7/1/2014,1076
8/1/2014,1047
9/1/2014,1077
10/1/2014,1094
11/1/2014,1059
12/1/2014,1072
1/1/2015,1049
2/1/2015,1127
3/1/2015,1072
4/1/2015,1166
5/1/2015,1272
6/1/2015,1379
7/1/2015,1140
8/1/2015,1165
9/1/2015,1144
10/1/2015,1160
11/1/2015,1244
12/1/2015,1211
1/1/2016,1171
2/1/2016,1172
3/1/2016,1118
4/1/2016,1160
5/1/2016,1205
6/1/2016,1208
7/1/2016,1198
8/1/2016,1201
9/1/2016,1303
10/1/2016,1254
11/1/2016,1230
12/1/2016,1248
1/1/2017,1303
2/1/2017,1234
3/1/2017,1272
4/1/2017,1251
5/1/2017,1208
6/1/2017,1353
7/1/2017,1256
8/1/2017,1319
9/1/2017,1273
10/1/2017,1356
11/1/2017,1299
12/1/2017,1311
1/1/2018,1317
2/1/2018,1321
3/1/2018,1385
4/1/2018,1378
5/1/2018,1338
6/1/2018,1345
7/1/2018,1334
8/1/2018,1273
9/1/2018,1314
10/1/2018,1272
11/1/2018,1340
12/1/2018,1317
1/1/2019,1261
2/1/2019,1287
3/1/2019,1305
4/1/2019,1311
5/1/2019,1347
6/1/2019,1315
7/1/2019,1352
8/1/2019,1489
9/1/2019,1474
10/1/2019,1525
11/1/2019,1527
12/1/2019,1451
1/1/2020,1507
2/1/2020,1442
3/1/2020,1358
4/1/2020,1066
5/1/2020,1260
6/1/2020,1338
7/1/2020,1546
8/1/2020,1529
9/1/2020,1624
10/1/2020,1613
11/1/2020,1714
12/1/2020,1744
1/1/2021,1883
2/1/2021,1715
3/1/2021,1732
4/1/2021,1738
5/1/2021,1681
6/1/2021,1657
7/1/2021,1652
8/1/2021,1770
9/1/2021,1625
10/1/2021,1719
11/1/2021,1766
12/1/2021,1913
1/1/2022,1915
2/1/2022,1860
3/1/2022,1879
4/1/2022,1835
5/1/2022,1712
6/1/2022,1745
7/1/2022,1719
8/1/2022,1542
9/1/2022,1613
10/1/2022,1560
11/1/2022,1402
12/1/2022,1400
1/1/2023,1443
2/1/2023,1620
3/1/2023,1493
4/1/2023,1470
5/1/2023,1532
6/1/2023,1493
7/1/2023,1501
8/1/2023,1578
9/1/2023,1515
10/1/2023,1534
11/1/2023,1508
12/1/2023,1530
1/1/2024,1508
2/1/2024,1563
3/1/2024,1485
4/1/2024,1440
